分類,問い,回答
新たな経済に向けた給付金・定額減税: : ,個人住民税の定額減税を受けるためにはどのような手続が必要ですか,個人住民税の定額減税を受けるために、納税義務者は原則として手続の必要はありません。EOL
子育て: 妊娠・出産の際に必要な手続: ,妊娠をしたときに必要な手続を教えてください。,"お住まいの市区町村に妊娠の届出を行うと、母子健康手帳が交付されます。妊娠届の様式（記入事項）や提出方法など、詳しくは、市区町村にご確認ください。

妊娠の届出を行うと、妊婦健康診査、両親学級、産前・産後サポート事業などの母子保健サービスを受けることができますので、妊娠11週以内の早期に妊娠の届出を行ってください。"EOL
子育て: 妊娠・出産の際に必要な手続: ,妊娠届は本人でなくても届出できますか。また、母子健康手帳も本人でなくでも受け取ることはできますか。,"代理の方が妊娠の届出を行い、母子健康手帳を受け取ることは可能です。
詳しくは、お住まいの市区町村にご確認ください。"EOL
子育て: 妊娠・出産の際に必要な手続: ,母子健康手帳の申請には医師の診断書が必要ですか。,基本的に医師の診断書は必要ありませんが、自治体によって手続が異なる場合があります。詳しくは、お住まいの市区町村にご確認ください。EOL
子育て: 妊娠・出産の際に必要な手続: ,母子健康手帳を失くした場合は再発行してもらえますか。,自治体で再発行の手続が可能です。詳しくは、お住まいの市区町村にご確認ください。EOL
子育て: 妊娠・出産の際に必要な手続: ,妊娠中に引越しをしても母子健康手帳はそのまま使えますか。,母子健康手帳はそのままお使いいただけます。EOL
子育て: 妊娠・出産の際に必要な手続: ,マタニティマークとは何ですか。どこでもらうことができますか。,"マタニティマークは、妊産婦さんの健康を守るため、妊産婦さんが交通機関等を利用する際に身につけ、周囲が妊産婦さんへの配慮を示しやすくするものです。
市区町村でお渡ししている場合もありますので、お住まいの市区町村にお問い合わせください。"EOL
子育て: 妊娠・出産の際に必要な手続: ,こどもが生まれたときに必要な手続について教えてください。,"赤ちゃんが生まれたら、出生届・出生連絡票（出生通知票）の提出、児童手当、医療保険の加入、こどもの医療費助成の申請等があります。

・出生届：詳細については、<法務省ウェブサイト「出生届」,https://www.moj.go.jp/ONLINE/FAMILYREGISTER/5-1.html>をご参照ください。また、届出に当たっての具体的な手続は、子の本籍地、出生地、届出人の所在地の市区町村にお問い合わせください。

・出生連絡票（出生通知票）：提出期限はお住まいの市区町村によって異なりますが、なるべく早く提出してください。

・児童手当：出生届の提出とは別に、出生の日の翌日から15日以内に、お住まいの市区町村に申請してください。里帰り出産などで、母親が一時的に現住所を離れている場合も、お住まいの市区町村への申請が必要です。

・医療保険の加入：健康保険の被保険者である親族の被扶養者として健康保険に加入するか国民健康保険に加入することになります。健康保険加入の場合は被保険者の勤務先に、国民健康保険加入の場合はお住まいの市区町村に申請してください。

・こどもの医療費助成：自治体によって、対象年齢、助成内容等が異なりますので、お住まいの市区町村へお問い合わせください。"EOL
子育て: 妊娠・出産の際に必要な手続: ,出生連絡票（出生通知票）、低体重児届について教えてください。,"市区町村では、お子さんの出生を知らせる連絡票（通知票）を独自で定めています。
また、お子さんの生まれたときの体重が2,500g未満の場合は市区町村への届出が必要となり、低体重児の届出と、市区町村の出生を知らせる連絡票（通知票）が兼ねていることもあります。
市区町村が実施している乳児家庭全戸訪問事業（こんにちは赤ちゃん事業）などの参考にするため、出生届とは別にご提出をお願いしているものです。
詳しくは、お住まいの市区町村にご確認ください。"EOL
子育て: 出産時の入院費用の助成: ,生活が苦しく出産時の入院費用がありません。出産の際の入院費用の支援を受けることはできますか。,"経済的な理由で病院又は助産所に入院して出産することができない妊産婦の方を対象に、指定された施設に入所し出産できる制度があります（入院助産）。健康保険等から一定額以上の出産育児一時金の給付が受けられる場合は対象外です。事前に申請等の手続が必要になりますので、詳しくは、お住まいの市区町村にお尋ねください。
また、低所得世帯・障害者世帯・高齢者世帯を対象に、生活福祉資金の貸付制度において、出産費用の貸付を受けられる場合があります。詳しくは、お住まいの市区町村の社会福祉協議会にお問い合わせください。"EOL
子育て: 妊婦健診・産婦健診: ,妊婦健診の費用は自己負担ですか。助成を受けることができますか。,"妊婦健診の公費助成が受けられます。
自治体によって受けられる補助の対象となる検査項目や補助される金額は異なりますので、詳しくは、お住まいの市区町村にご確認ください。"EOL
子育て: 妊婦健診・産婦健診: ,産婦健診とはどのようなものですか。,"医療機関において、産後2週間、産後１か月など出産後間もない時期のお母さんが、産後の身体などの回復状況を確認するために、受けられる健診です。
費用については、お住まいの市区町村によって、補助などがある場合がありますので、詳しくは、お住まいの市区町村にお問い合わせください。"EOL
子育て: 出産育児一時金: ,会社を退職しましたが、退職後に出産した場合でも在職中の健康保険での被保険者出産育児一時金を申請できますか。,資格喪失日の前日（退職日）までに継続して1年以上被保険者期間（任意継続被保険者期間は除く）があり、資格喪失後（退職日の翌日）から6ヵ月以内の出産である等、要件を満たした場合は資格喪失後の出産育児一時金の支給を受けることができます。詳しくは、加入していた医療保険者にお問い合わせください。EOL
子育て: 出産育児一時金: ,海外で出産しました。出産育児一時金の申請はできますか。,"国民健康保険の加入者が海外で出産した場合、帰国後に申請いただければ、国民健康保険から出産育児一時金が支給されます。
詳しくは、お住まいの市区町村の国民健康保険担当にお問い合わせください。

健康保険の被保険者等が海外で出産した場合も、要件を満たせば出産育児一時金が支給されます。
詳しくは、ご加入の健康保険組合又は協会けんぽにご相談ください。"EOL
子育て: 出産育児一時金: ,出産した際、直接支払制度を利用しましたが、出産費用が50万円未満でした。何か手続が必要ですか。,"国民健康保険の加入者が出産された場合は、出産費用と出産育児一時金の差額が支給されます。
詳しくは、お住まいの市区町村の国民健康保険担当にお問い合わせください。

健康保険の被保険者等が出産された場合も、その差額が支給されますので、お手続ください。
詳しくは、ご加入の健康保険組合又は協会けんぽにご相談ください。"EOL
子育て: 出産育児一時金: ,出産育児一時金について教えてください。,健康保険や国民健康保険の被保険者等が出産したとき、出産育児一時金が支給されます。妊娠12週以降（85日以上）の分娩については、生産、死産、流産（人工妊娠中絶を含む）又は早産を問わず、すべて支給されます。詳細については、ご加入の医療保険窓口までお問い合わせください。EOL
子育て: 出産育児一時金: ,出産育児一時金直接支払制度について教えてください。,出産にかかった費用に出産育児一時金を直接充てることができるよう、健康保険や国民健康保険から医療機関等へ出産育児一時金が直接支払われる制度です。この制度をご利用いただくと、分娩した病院などへの支払が出産育児一時金を超えた金額だけで済むようになり、事前にまとまった出産費用を準備する必要が無くなります。EOL
子育て: 国民健康保険料の免除: ,産前産後期間の国民健康保険の保険料は免除されますか。,"子育て世帯支援のため、出産する被保険者に係る産前産後期間相当分の国民健康保険料を免除することにより、世帯に係る保険料を軽減します（令和6年1月開始）。ただし、軽減の適用には届出が必要です。
対象となるのは、令和5年11月1日以降に出産した国民健康保険被保険者の方です。
手続については、お住まいの市区町村の国民健康保険担当へお問い合わせください。"EOL
子育て: 出産手当金: ,出産手当金とはどのようなものですか。,"健康保険の被保険者（任意継続被保険者を除く）が出産のため会社等を休み、その間に給料の支払いを受けなかった場合に、仕事を休んだ期間を対象として1日につき、賃金の3分の2に相当する金額が健康保険から支給されます。
詳しくは、勤務先やご加入の健康保険組合又は協会けんぽにご相談ください。"EOL
子育て: 出産時の保険適用、高額療養費: ,出産費用の保険適用の導入予定について教えてください。,妊婦が安全・安心に出産できる環境を整備し、出産等の経済的負担を軽減する観点から、令和6年春を目処に出産費用の見える化を実施することとしています。こうした取組を行った上で、令和8年度を目処に、出産費用（正常分娩）の保険適用の導入を含め、出産に関する支援等の更なる強化について検討を進めていく予定です。EOL
子育て: 出産時の保険適用、高額療養費: ,出産での高額療養費支給はありますか。,出産での医療費は、正常分娩では保険適用外となるため、高額療養費の支給対象にはなりません。ただし、出産に際し保険適用部分が生じた場合(帝王切開などの異常分娩)で、その分が自己負担限度額を超えた場合は、高額療養費の支給対象となります。EOL
子育て: 出産・子育て応援交付金: ,出産・子育て応援交付金について教えてください。,"妊娠期から出産・子育てまで一貫して相談に応じる伴走型相談支援と経済的支援（妊娠届出時と出生届出時の計10万円相当）を一体として実施する仕組みです。
出産・育児の見通しを一緒に立てる面談を3回に分けて行います。1回目は妊娠を届け出たとき、2回目は出産間近（妊娠8か月頃）、3回目は産後間もない時期で、その後も継続的に支援を行います。
1回目の面談の後には5万円相当の「出産応援ギフト」が、3回目の面談の後には5万円相当の「子育て応援ギフト」が支給されます。妊婦健診時の交通費や家事支援サービスの利用料、出産・育児関連用品の購入・レンタル費用などに活用ください。
詳しくは、<こども家庭庁ウェブサイト,https://www.cfa.go.jp/policies/shussan-kosodate/>またはお住まいの市区町村にご確認ください。"EOL
子育て: 出産・子育て応援交付金: ,出産・子育て応援ギフトの申請に必要な面談は誰が受けるのですか。,"出産や育児の見通しを立てるために妊産婦と面談を行います。妊産婦の夫・パートナー・同居家族と一緒に面談することも推奨しています。
詳しくは、お住まいの市区町村にご確認ください。"EOL
子育て: 出産・子育て応援交付金: ,出産・子育て応援ギフトは、妊産婦本人ではなくても申請できますか。,"出産応援ギフトは面談を受けた「妊婦」を支給対象者とし、子育て応援ギフトは面談を受けた「こどもの養育者」を支給対象者としています。このため、支給対象者本人に申請いただく必要がありますが、支給対象者との続柄や支給対象者から申請に関する委任を受けたことが確認できれば代理の方からの申請も可能です。
手続については、お住まいの市区町村にご確認ください。"EOL
子育て: 出産・子育て応援交付金: ,出産・子育て応援ギフトの支給について、国籍の条件はありますか。,国籍の条件はありません。出産・子育て応援ギフトの支給申請をする時点で日本に住民票があることが条件となります。EOL
子育て: 出産・子育て応援交付金: ,DV（ドメスティックバイオレンス）により、居住している市区町村に住民票がありません。出産・子育て応援ギフトの支給対象になりますか。,"DV（ドメスティックバイオレンス）を理由に避難している方であっても、避難先の市区町村において面談を実施した場合、当該避難先の市区町村で出産・子育て応援ギフトの支給を行うことは可能です。
申請の際には現居住地を確認出来る「賃貸住宅の契約書」や「光熱水費の請求書」等、現に住んでいることが確認できる書類が必要です。
詳しくは、現住所地（住民票がある）の市区町村または現居住地の市区町村にご確認ください。"EOL
子育て: 出産・子育て応援交付金: ,最近、転出（転入）しましたが、出産・子育て応援ギフトの支給対象になりますか。また、どこに申請すればよいですか。,"出産・子育て応援ギフトの申請先は、申請する時点で住民票のある市区町村となります。
手続については、お住まいの市区町村にご確認ください。"EOL
子育て: 出産・子育て応援交付金: ,海外で妊娠・出産後に、帰国しました。出産・子育て応援ギフトの支給対象になりますか。,出産応援ギフトは、妊娠期間中に海外に居住していた者であっても、日本で妊娠届を提出をして、面談を受けた方は支給対象となります。妊娠届を日本で提出していない方は対象外となります。日本に帰国した場合には、住民票のある市区町村で面談を受けることで、子育て応援ギフトの支給を受けることができます。なお、帰国の時期に応じて申請期限（原則帰国後３か月以内）がありますので、お住まいの市区町村にご確認ください。EOL
子育て: 出産・子育て応援交付金: ,妊娠届出後、流産・死産しました。5万円相当のギフトの支給対象になりますか。,流産・死産となった場合でも、「出産応援ギフト（5万円相当）」と「子育て応援ギフト（5万円相当）」のうち、「出産応援ギフト（5万円相当）」の支給対象となります。EOL
子育て: 出産・子育て応援交付金: ,妊娠届出後、人工妊娠中絶しました。5万円相当のギフトの支給対象になりますか。,人工妊娠中絶した場合でも、「出産応援ギフト（5万円相当）」と「子育て応援ギフト（5万円相当）」のうち、「出産応援ギフト（5万円相当）」の支給対象となります。EOL
子育て: 出産・子育て応援交付金: ,出産・子育て応援ギフトの支給に当たって、所得による制限はありますか。,所得制限は設けていません。EOL
子育て: 出産・子育て応援交付金: ,出産・子育て応援交付金は、今後も継続されるのでしょうか。,出産・子育て応援交付金については、今後も継続的に実施できるよう検討を進めています。正式に決定されましたら、またお知らせします。EOL
子育て: 妊婦健診・産婦健診: ,妊婦健診とはどのようなものですか。なぜ受ける必要があるのですか。,"妊婦健診は、妊婦さんや赤ちゃんの健康状態を定期的に確認するために行われるものです。健康に過ごし、安心して出産に臨めるよう、医師や助産師などの専門家と一緒に準備してください。
妊婦健診では、妊娠週数に応じた問診・診察に加えて、妊婦さんの体調や赤ちゃんの成長を確認するために、体重や血圧の測定などの基本的な検査が行われます。
また、血液検査、超音波検査などの医学的検査も行われます。医学的検査の内容は、医療機関の方針や、妊婦さんと赤ちゃんの健康状態に基づく担当医の判断によって異なります。"EOL
子育て: 妊婦健診・産婦健診: ,妊婦健診は、いつ頃、何回くらい受ければよいですか。,妊娠初期から妊娠23週までは4週間に1回、妊娠24週から妊娠35週までは2週間に1回、妊娠36週から出産までは週1回を目安として健診が行われ、受診回数は合計14回程度になります。担当医の指示に従って、定期的に妊婦健診を受けてください。EOL
子育て: 妊婦健診・産婦健診: ,妊婦健診の受診票はどこでもらえますか。,妊娠届を提出した際に、母子健康手帳と一緒に妊婦健診の受診票を交付する市区町村が多いですが、それぞれの自治体によって異なりますので、お住まいの市区町村にご確認ください。EOL
子育て: 妊婦健診・産婦健診: ,妊婦健診受診票受取前に病院にかかった分は、助成の対象になりますか。,それぞれの市区町村によって異なりますので、お住まいの市区町村にご確認ください。EOL
子育て: 妊婦健診・産婦健診: ,妊婦健診が15回以上かかった場合、追加で助成してもらうことはできますか。,それぞれの市区町村によって異なりますので、お住まいの市区町村にご確認ください。なお、多胎妊娠の場合には、単体妊娠の場合と助成回数が異なる場合もあります。EOL
子育て: 妊婦健診・産婦健診: ,引越しをした場合、前に住んでいた自治体でもらった妊婦健診の受診票は使えますか。,妊婦健康のための受診票は自治体により異なります。詳しくは、転居先の市区町村にご確認ください。EOL
子育て: 妊婦健診・産婦健診: ,妊婦健診の受診票が余った場合、換金してもらえますか。,換金はできません。EOL
子育て: 妊婦健診・産婦健診: ,里帰り出産をしたいのですが、その場合、里帰り先の病院でも妊婦健診の受診票は使えますか。,里帰り先の病院がどこにあるかによっても異なりますので、お住まいの市区町村にご確認ください。EOL
子育て: 妊婦健診・産婦健診: ,妊婦健診の受診票を失くしてしまいましたが、再発行はしてもらえますか。,お住まいの市区町村にご確認ください。EOL
子育て: 妊婦健診・産婦健診: ,歯科健診も助成の対象に含まれますか。,お住まいの市区町村によって受けられる補助の対象となる検査項目や補助される金額は異なりますので、詳しくは、お住まいの市区町村にご確認ください。EOL
子育て: 妊婦健診・産婦健診: ,病院が独自に行っている検査については、妊婦健診の助成の対象になりますか。,"市区町村の補助の対象ではない検査項目または補助額以上の費用に関しては、補助の対象になりません。
お住まいの市区町村によって受けられる補助の対象となる検査項目や補助される金額は異なりますので、詳しくは、お住まいの市区町村にご確認ください。"EOL
子育て: 妊婦健診・産婦健診: ,妊婦健診の受診票を使用できない医療機関や助産所で妊婦健診を受診した場合であっても、助成や払い戻しの対象となりますか。,"里帰り出産等でお住まいの市区町村以外の医療機関で妊婦健診を受けた場合でも、受診した費用の一部が助成される場合があります。
詳しくは、お住まいの市区町村にご確認ください。"EOL
子育て: 妊娠・出産に関する相談、心身のサポート: ,妊娠してしまったのですが、どうしたらよいか悩んでいます。周囲に知られず、相談できる窓口はないですか。また、受けられる支援はありますか。,"性に関連する悩みについて都道府県、指定都市、中核市が設置している｢性と健康の相談センター｣の窓口で無料相談を受けられます。
医師・保健師・助産師等に相談できます。女性も男性も、若者だけではなく、様々な年齢の方も相談できます。
以下のウェブサイトから各都道府県の相談窓口の場所、対応内容、対応可能時間、対応専門職等を検索できます。

<性と健康の相談センター,https://sukoyaka21-youth.cfa.go.jp/counter_for_worries/>

また、「若年妊婦等支援事業」があり、各種相談支援のほか、産科等医療機関への同行支援や、妊娠の判定に要する費用について支援を受けることができます。10代の妊娠に悩んでいる方や、年齢にかかわらず出産後の育児に不安を抱えている方などが対象です。申請先は、都道府県、指定都市、中核市ですので、お住まいの自治体にお問い合わせください。"EOL
子育て: 妊娠・出産に関する相談、心身のサポート: ,緊急避妊のための診療を受けられる産婦人科を教えてください。,"緊急避妊薬は、性交後72時間以内に服用する必要があります。
厚生労働省のウェブサイトに掲載を希望した緊急避妊にかかる対面診療が可能な産婦人科医療機関等の一覧（住所、対応可能時間帯等）は、<こちら,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000186912_00002.html>からご確認ください。"EOL
子育て: 妊娠・出産に関する相談、心身のサポート: ,緊急避妊のオンライン診療が受けられる産婦人科を教えてください。,"緊急避妊の処方に関するオンライン診療の研修を修了した医師及び勤務医療機関の⼀覧は、<こちら,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000186912_00002.html>からご確認ください。"EOL
子育て: 妊娠・出産に関する相談、心身のサポート: ,妊娠・出産や育児について、心身の不安や困難を抱えている場合に、自治体などからどのようなサポートを受けられますか。,"妊娠中に助産師等の専門家に相談したり、ご家庭に訪問してもらうことができます。また、産後の心身のケアや授乳の支援（産後ケア事業）など、市区町村によって様々なサービスが提供されています。

生後4か月までの乳児がいるご家庭には専門職の他、研修を受けたスタッフが訪問し、不安や悩みをお聞きしたり、子育て支援に関する情報提供、親子の心身の状況や養育環境等の把握や助言を行い、支援が必要なご家庭に対しては適切なサービスを行っています(乳児家庭全戸訪問事業（こんにちは赤ちゃん事業）)。

詳しくは、お住まいの市区町村にご確認ください。"EOL
子育て: 妊娠・出産に関する相談、心身のサポート: ,性や妊娠などの悩み、育児などについて相談できるところはありますか。,"全国の子育て世代包括支援センター（令和6年4月からは「こども家庭センター」）にて、妊娠、出産、子育て等に関する相談をお受けしています。お住まいの市区町村にお問い合わせください。窓口一覧は<こちら,https://www.cfa.go.jp/policies/boshihoken/center/>です。
また、不妊症・不育症や、予期せぬ妊娠などの悩みを抱える方の相談窓口として、性と健康の相談センター窓口が設置されており、<こちらのページ,https://www.cfa.go.jp/policies/boshihoken/seitokenkogaiyo/>で検索できます。"EOL
子育て: 不妊症・不育症に関する支援、相談: ,なぜ、不妊治療と仕事の両立支援が必要なのですか。,"不妊治療と仕事の両立が困難になっている要因には、通院回数の多さ、精神面での負担の大きさ、通院と仕事の日程調整の難しさなどがあります。また、治療を受けていることを職場に知られたくない方もいる一方で、職場によっては、不妊治療についての認識があまり浸透していないところもあると考えられます。
そのため、企業には、不妊治療を受けながら安心して働き続けられる職場環境の整備が求められています。
国では、不妊治療と仕事との両立がしやすい環境整備に取り組む企業を認定する制度等を設けていますので、<こちら,https://www.mhlw.go.jp/stf/newpage_14408.html>をご覧ください。"EOL
子育て: 不妊症・不育症に関する支援、相談: ,働きながら不妊治療を続けることができるか不安です。不妊治療の内容や支援情報について教えてください。,"働きながら不妊治療を受ける方、それを支える上司や同僚の皆さん向けに、「不妊治療と仕事との両立サポートハンドブック」を作成しています。不妊治療の内容や職場での配慮のポイント、不妊治療の方にとって役立つ情報などをまとめてありますので、詳しくは、<こちら,https://www.mhlw.go.jp/stf/newpage_14408.html>からご覧ください。
"EOL
子育て: 不妊症・不育症に関する支援、相談: ,働きながら不妊治療を受けている社員のために、企業としてどういったことに配慮すればよいか教えてください。,"社員が不妊治療を受けながら働き続けられる職場づくりに取り組む企業のため、「不妊治療を受けながら働き続けられる職場づくりのためのマニュアル」を作成し、企業が社員の不妊治療と仕事との両立支援の取組を始める際のステップや、不妊治療のために利用可能な休暇・休職制度、実際の企業の取組例などについて紹介しています。
また、不妊治療のために利用可能な休暇制度や両立支援制を労働者に利用させた中小企業事業主の方への助成金もあります。
詳しくは、<こちら,https://www.mhlw.go.jp/stf/newpage_14408.html>をご覧ください。
"EOL
子育て: 不妊症・不育症に関する支援、相談: ,現在、不妊治療を検討していますが、休暇を取得する機会が増えそうで不安です。不妊治療のための休暇を取得しやすい企業はありますか。,"企業によっては、不妊治療のために利用可能な休暇制度を設けているところもありますので、まずはお勤め先にご確認ください。
また、子育てサポート企業として厚生労働大臣の認定（くるみん認定）を受けた企業のうち、不妊治療のための休暇制度やフレックスタイム制等の制度を設けているなど、不妊治療と仕事との両立に積極的に取り組む企業に対して、「プラス」認定を追加する「くるみんプラス」等制度を創設しました。

最新の認定状況一覧は、<こちら,https://www.mhlw.go.jp/content/11909000/001157446.pdf>からご覧ください。
"EOL
子育て: 不妊症・不育症に関する支援、相談: ,現在、無職で、不妊治療中です。不妊治療により、体調が優れないときもあり、求職活動ができるかどうか不安です。どうしたらいいでしょうか。,"不妊治療をされている方であっても、受給要件（※）を満たせば雇用保険の基本手当を受給することは可能です。
また、体調が優れないときが多く、今すぐ働くことが出来ない場合には、受給期間を延長し、職業に就くことができる状態になった後に、手続をすることも可能です。
なお、不妊治療後、妊娠に至った場合は、妊娠、出産、育児期間と連続して最大4年（受給期間1年に延長期間3年）まで延長することが可能です。判断に迷った場合は、住居所を管轄するハローワークへ早めにご相談ください。

（※）雇用保険の基本手当の受給要件については、<こちら,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000139508.html>のQ2をご覧ください。"EOL
